path,category,reason,risk,size,ref_count,last_commit,recommendation,source
tests\test_agentdev_simple.py,unreferenced,No references found (ref_count: 0),LOW,1480,0,065c05c8,QUARANTINE,primary
tests\test_agent_flow.py,unreferenced,No references found (ref_count: 0),LOW,10238,0,065c05c8,QUARANTINE,primary
tests\test_ai_manager_extended.py,unreferenced,No references found (ref_count: 0),LOW,1672,0,065c05c8,QUARANTINE,primary
tests\test_api_bridge.py,unreferenced,No references found (ref_count: 0),LOW,7584,0,065c05c8,QUARANTINE,primary
tests\test_api_dev_agent.py,unreferenced,No references found (ref_count: 0),LOW,804,0,f814bff5,QUARANTINE,primary
tests\test_api_provider_manager.py,unreferenced,No references found (ref_count: 0),LOW,4281,0,d62e20a8,QUARANTINE,primary
tests\test_api_pr_fullsuite.py,unreferenced,No references found (ref_count: 0),LOW,3289,0,065c05c8,QUARANTINE,primary
tests\test_batch2_http_io.py,unreferenced,No references found (ref_count: 0),LOW,22006,0,065c05c8,QUARANTINE,primary
tests\test_bugmemory_priority.py,unreferenced,No references found (ref_count: 0),LOW,584,0,065c05c8,QUARANTINE,primary
tests\test_bug_memory.py,unreferenced,No references found (ref_count: 0),LOW,384,0,065c05c8,QUARANTINE,primary
tests\test_bug_memory_record.py,unreferenced,No references found (ref_count: 0),LOW,3855,0,065c05c8,QUARANTINE,primary
tests\test_code_quality_enforcer.py,unreferenced,No references found (ref_count: 0),LOW,18581,0,065c05c8,QUARANTINE,primary
tests\test_common_modules.py,unreferenced,No references found (ref_count: 0),LOW,18328,0,065c05c8,QUARANTINE,primary
tests\test_communication_style_manager.py,unreferenced,No references found (ref_count: 0),LOW,5876,0,065c05c8,QUARANTINE,primary
tests\test_compute_ai_manager.py,unreferenced,No references found (ref_count: 0),LOW,208,0,065c05c8,QUARANTINE,primary
tests\test_config_defaults.py,unreferenced,No references found (ref_count: 0),LOW,454,0,065c05c8,QUARANTINE,primary
tests\test_connectivity.py,unreferenced,No references found (ref_count: 0),LOW,463,0,065c05c8,QUARANTINE,primary
tests\test_content_integrity_filter.py,unreferenced,No references found (ref_count: 0),LOW,19095,0,065c05c8,QUARANTINE,primary
tests\test_conversational_core_v1.py,unreferenced,No references found (ref_count: 0),LOW,2718,0,065c05c8,QUARANTINE,primary
tests\test_emotionsense_v1.py,unreferenced,No references found (ref_count: 0),LOW,33069,0,065c05c8,QUARANTINE,primary
tests\test_enhanced_agentdev.py,unreferenced,No references found (ref_count: 0),LOW,19750,0,065c05c8,QUARANTINE,primary
tests\test_ethical_core_system_v1.py,unreferenced,No references found (ref_count: 0),LOW,21313,0,065c05c8,QUARANTINE,primary
tests\test_example.py,unreferenced,No references found (ref_count: 0),LOW,220,0,065c05c8,QUARANTINE,primary
tests\test_example_module.py,unreferenced,No references found (ref_count: 0),LOW,39,0,f814bff5,QUARANTINE,primary
tests\test_executor.py,unreferenced,No references found (ref_count: 0),LOW,930,0,065c05c8,QUARANTINE,primary
tests\test_executor_patch.py,unreferenced,No references found (ref_count: 0),LOW,2490,0,065c05c8,QUARANTINE,primary
tests\test_gateway_architecture.py,unreferenced,No references found (ref_count: 0),LOW,8392,0,065c05c8,QUARANTINE,primary
tests\test_generate_patch_stub.py,unreferenced,No references found (ref_count: 0),LOW,508,0,065c05c8,QUARANTINE,primary
tests\test_gpt5_bridge.py,unreferenced,No references found (ref_count: 0),LOW,3147,0,065c05c8,QUARANTINE,primary
tests\test_guard.py,unreferenced,No references found (ref_count: 0),LOW,6399,0,065c05c8,QUARANTINE,primary
tests\test_guard_v3.py,unreferenced,No references found (ref_count: 0),LOW,5305,0,065c05c8,QUARANTINE,primary
tests\test_guard_v4.py,unreferenced,No references found (ref_count: 0),LOW,5504,0,065c05c8,QUARANTINE,primary
tests\test_health_ai_manager.py,unreferenced,No references found (ref_count: 0),LOW,340,0,065c05c8,QUARANTINE,primary
tests\test_identity_handler.py,unreferenced,No references found (ref_count: 0),LOW,6283,0,065c05c8,QUARANTINE,primary
tests\test_identity_integration.py,unreferenced,No references found (ref_count: 0),LOW,4552,0,065c05c8,QUARANTINE,primary
tests\test_internet_access.py,unreferenced,No references found (ref_count: 0),LOW,12703,0,unknown,QUARANTINE,primary
tests\test_layered_memory_v1.py,unreferenced,No references found (ref_count: 0),LOW,6007,0,065c05c8,QUARANTINE,primary
tests\test_niche_e2e.py,unreferenced,No references found (ref_count: 0),LOW,17102,0,unknown,QUARANTINE,primary
tests\test_niche_integration.py,unreferenced,No references found (ref_count: 0),LOW,15236,0,unknown,QUARANTINE,primary
tests\test_niche_units.py,unreferenced,No references found (ref_count: 0),LOW,14481,0,unknown,QUARANTINE,primary
tests\test_obs_files.py,unreferenced,No references found (ref_count: 0),LOW,8459,0,065c05c8,QUARANTINE,primary
tests\test_persona_morph.py,unreferenced,No references found (ref_count: 0),LOW,8295,0,065c05c8,QUARANTINE,primary
tests\test_planner_multi.py,unreferenced,No references found (ref_count: 0),LOW,931,0,065c05c8,QUARANTINE,primary
tests\test_plan_types.py,unreferenced,No references found (ref_count: 0),LOW,239,0,065c05c8,QUARANTINE,primary
